Scheme Name,URL,Benefits
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)","https://www.myscheme.gov.in/schemes/fadsp1012e","Benefits

Sl. No. Class/Course Course Fee Assistance Exam Fee Assistance Registration Fee Assistance Admission Fee Assistance
1 SSLC/10th Class ₹1750/- ₹500/- ₹100/- --
2 11th Class ₹1950/- ₹700/- ₹100/- ₹200/- 
3 12th Class ₹1950/- -- -- --"
"ICMR- Post Doctoral Fellowship","https://www.myscheme.gov.in/schemes/icmr-pdf","Benefits
ICMR-PDFs will be paid a consolidated fellowship of ₹65,000/- per month plus House Rent Allowance (HRA) as per Govt. of India rule and Non-Practicing allowance (NPA) as admissible.
There is a contingency grant of ₹3,00,000/- per annum.
25% of the contingency grant can be used for travel including per diem expenses (only for National travel, related to ICMR-PDF proposed research work only).
Note: Fellowship amount will be paid to ICMR institutes/centres every six months including contingency grant.
Accommodation and other benefits:
Accommodation may be provided by ICMR Institutes/Centers, if available. However, in such cases, HRA will not be paid.
ICMR-PDFs will be entitled to medical benefits and leave as per the ICMR rules for JRF/Research Associates."
"Tool Kit Grant for Traditional Handicrafts Experts","https://www.myscheme.gov.in/schemes/tkgthe","Benefits
1. The training costs, stipend (if found necessary), and tool kit grant together shall be limited to ₹25000/-.
2. The training and stipend portion is limited to ₹5000/-.
3. The maximum period of training will be three months.
Note 01: The focus will be on machinery and equipment.
Note 02: The tools developed by reputed institutions will be encouraged amongst the craftsmen.
Note 03: The choice of tools and machinery will be based on the occupation.
Note 04: The beneficiaries can freely select whichever agency to procure equipment.
Note 05: The grant is for modernization of traditional occupation i.e. for procurement of modern tools and machinery.
Note 06: The grant should not be used as working capital."
"Snehasanthwanam","https://www.myscheme.gov.in/schemes/skerala","Benefits
Under the scheme, financial assistance of ₹2200/- is given to the bedridden Endosulfan victims.
Financial assistance of ₹1700/- is given to such bedridden Endosulfan victims who are getting ₹300/- per month as a disability pension.
All other Endosulfan victims are given ₹1200/- based on the list furnished by the District Collector.
In addition to this, monthly assistance of ₹700/- is given to the caregivers of Endosulfan victims who are fully bedridden or mentally retarded under the special Aswasakiranam scheme.
Educational assistance will be provided to the Children of Endosulfan affected families as under:
      a) Children studying in buds school – ₹ 2000/-.
      b) Children studying in Class 1st to 7th – ₹2000/-.
      c) Children studying in Class 8th to 10th – ₹3000/-.
      d) Children studying in Plus One and Plus Two – ₹4000/-."
"Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)","https://www.myscheme.gov.in/schemes/sgassobcaniphsaislecxixii","Benefits
Value of Scholarship:
Under this scheme, an amount of ₹1000/- per month shall be sanctioned to the eligible students belonging to the OBC category.
Payment and Mode of Disbursal of Scholarship:
The scholarship shall be payable for a duration of ten months in an academic session.
The scholarship shall be admissible only to the passed-out students of the previous academic session. (e.g. A student after passing Class XI/Class XII will be eligible for a scholarship only after he/she completes 1st year of the higher education/professional course )
The scholarship amount shall be directly credited to the Aadhaar-linked bank account of the beneficiary by the Department of Social Welfare.
The award of a scholarship will depend upon the fund availability in a particular financial year."
"National Family Benefit Scheme - Uttar Pradesh","https://www.myscheme.gov.in/schemes/nfbsup","Benefits
Benefits
Under the this scheme the government will pay Rs. 30, 000/- per family as compensation. The amount of the compensation was Rs. 20, 000/- earlier. After 2013, the amount was revised and become Rs. 30, 000/-. Under this scheme anyone who is eligible to become the head of the family after the death of the earner can apply for the scheme and claim the mentioned amount as compensation from the government."
"Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students","https://www.myscheme.gov.in/schemes/dacsspostmsebcs","Benefits
Maintenance Allowance

Group A
Degree and Post Graduate level courses including M.Phil., PhD and Post Doctoral research in Medicine (Allopathic, Indian and other recognized systems of medicines), Engineering, Technology, Planning, Architecture, Design, Fashion Technology, Agriculture, Veterinary and Allied Sciences, Management, Business Finance/Administration, Computer Science/Applications.
Post Graduate Diploma courses in various branches of management & medicine.
C.A./ I.C.W.A./ C.S./ I.C.F.A. etc.
M. Phil., Ph.D. and Post-Doctoral Programmes (D.Litt., D.Sc. etc.).
L.L.M
Rate of Maintenance Allowance (₹ per month): Hostellers: 750; Day Scholars: 350.

Group B
Graduate/Post/Graduate courses leading to Degree, Diploma, Certificate in areas like Pharmacy (B. Pharma), Nursing (B Nursing), LLB, BFS, other para-medial branches like rehabilitation diagnostics etc., Mass Communication, Hotel Management & Catering, Travel/Tourism/Hospitality Management, Interior Decoration, Nutrition & Dietetics, Commercial Art, Financial Services (e.g. Banking, Insurance, Taxation etc.) for which entrance qualification is minimum Sr. Secondary (10+2), except aviation related courses.
Post Graduate courses not covered under Group A e.g. MA/M.Sc./M.Com/ M.Ed./M.Pharma etc.
Rate of Maintenance Allowance (₹ per month): Hostellers: 510; Day Scholars: 335.

Group C
All other courses leading to a graduate degree not covered under Group A & B e.g. BA/B.Sc./B.Com etc.
Rate of Maintenance Allowance (₹ per month): Hostellers: 400; Day Scholars: 210.

Group D
All post-matriculation level non-degree courses for which entrance qualification is High School (Class X), e.g. senior secondary certificate (class XI and XII); both general and vocational stream, ITI courses, 3-year diploma courses in Polytechnics, etc.
Rate of Maintenance Allowance (₹ per month): Hostellers: 260; Day Scholars: 160.

NOTE: Scholars who are entitled to free boarding and/or lodging will be paid maintenance chargers at 1/3rd of the hostellers' rate.

Reader Charges for Blind Students (Blind Scholars)
The blind scholars will be given an additional amount as 'Readers Charges' as mentioned below:
Group: A & B; Reader Allowance (₹ per month): 175
Group: C; Reader Allowance (₹ per month): 130
Group: D; Reader Allowance (₹ per month): 90

Fees
Scholars will be paid enrolment/registration, tuition, games, union, library, magazine, medical examination and such other fees compulsorily payable by the scholar to the institution or University/Board. Refundable deposit-like caution money and security deposit will, however, be excluded.

Study Tours
Study tour charges upto a maximum of Rs. 900/- per annum limited to the actual expenditure incurred by the student on transportation charges etc., will be paid to the scholars studying professional and technical courses, provided that the head of the institution certifies that the study tour is essential for the scholar for completion of his/her course of study.

Thesis Typing/ Printing Charges
Thesis typing/printing charges upto a maximum of Rs. 1000 will be paid to research scholars on the recommendation of the Head of the Institution.

Mode of Disbursal
In order to ensure timely payment of scholarship amount to the beneficiaries, the State Government/UT administrations are requested to avoid cash payment of scholarship amount and are required to issue instructions to all concerned that payment of scholarship should be made directly to beneficiaries through their accounts in post offices/banks with phased transition to Smart Cards.

Duration of Awards
The award once made will be tenable from the stage at which it is given to the completion of the course subject to good conduct and regularity in attendance. 

Renewal of Awards
It will be renewed from year to year provided that within a course, which is continuous for a number of years, the scholar secures promotion to the next higher class irrespective of the fact whether such examinations are conducted by a University or the Institution."
"Financial Assistance under Odisha Working Journalist Welfare Scheme","https://www.myscheme.gov.in/schemes/owjws","Benefits
Under the scheme, an ex-gratia of ₹4,00,000/-  is provided to the legal heir of the working journalist in case of his/her death and ₹2,00,000/- in case of permanent incapacitation."
"Savitribai Jyotirao Phule Fellowship For Single Girl Child","https://www.myscheme.gov.in/schemes/sjpfsgc","Benefits
TENURE OF FELLOWSHIP:

The tenure of the fellowship is for five years and will be effective from 1st April of the selection year or the actual date of joining under the fellowship in the University/College/Institute, whichever is later. Fellowship will be granted upto the date of submission of Ph.D. Thesis or 5 years of tenure whichever is earlier. No extension is permissible beyond the total period of five years, and the fellow ceases to be a UGC research fellow immediately after the expiry of the due date.

FINANCIAL ASSISTANCE: 

Fellowship: 
JRF @ ₹ 31,000/- p.m. for initial two years (subject to satisfactory progress of research work)
SRF @ ₹ 35,000/- p.m. for remaining tenure (subject to satisfactory progress of research work)

Contingency: 
For Humanities and Social Sciences: @ ₹ 10,000/- p.a. for the initial two years, @ ₹ 20,500/- p.a. for the remaining tenure.
For Science, Engineering, and Technology @ ₹ 12,000/- p.a. for the initial two years, @ ₹ 25,000/- p.a. for the remaining tenure.

Escort Reader Assistance:
@ ₹ 3,000/- p.m. in the case of ‘Divyang’ scholars.

Note: At the end of tenure/termination of fellowship/resignation of scholar, the books, journals, and equipment purchased out of the contingency grant shall become the property of the institution concerned.

HRA: 
(i)  Hostel accommodation may be provided to the scholars by their institutions. In such cases, the scholar is eligible to draw only hostel fees excluding 
mess, electricity, water charges, etc. In case, a scholar refuses the hostel accommodation, he/she shall not be eligible to draw HRA. 

(ii) In case of non-availability of hostel accommodation, the scholar may be provided with single accommodation by the host institution. In such cases, the rent paid by the scholar on an actual basis shall be reimbursed, subject to the ceiling of HRA as per Govt. of India norms.

(iii) If the scholar makes her own arrangements of accommodation, he/she shall be entitled to draw HRA as per ceiling and categorization of cities by the Govt. of India. In case, the scholar wishes to draw HRA, he/she is required to submit a certificate, in the prescribed format, to her institution.

MEDICAL ASSISTANCE: 
No separate/fixed medical assistance is provided. However, the scholars may avail the medical facilities available in their Institutions
concerned.

LEAVE:
(i) Earned Leave for a maximum period of 30 days in a year in addition to public holidays may be taken by a scholar. However, they are not entitled to any other vacation, such as summer, winter, and pooja vacations, etc.

(ii) Maternity/paternity leave as per the Govt. of India norms issued from time to time shall be available for female scholars at full rates of the fellowship once during the tenure of the fellowship. The period of leave without fellowship, if any, shall be counted towards the tenure.

Besides this, an ‘Intermittent Break’ for a maximum total period of 1 year may also be permissible for women scholars. The break can be availed a maximum of 3 times during the entire period of the fellowship. However, the total duration of the break shall not exceed one year. No fellowship shall be available for the period of such break(s). This period of intermittent breaks shall not be counted towards the tenure of the fellowship, and thus effectively the total period of fellowship shall remain the same.

(iii) Academic leave (without fellowship and other emoluments) shall be permissible only for one year throughout the tenure (for any kind of academic/teaching assignment/foreign visit in connection with research work). The period of leave without fellowship will be counted towards the tenure. Expenditure on foreign visits in connection to research work cannot be claimed from UGC. 

(iv) All kinds of leave shall be availed by the scholar only with due approval of the institution concerned."
"Exposure Visits To The Assam Legislative Assembly","https://www.myscheme.gov.in/schemes/evtala","Benefits
1. Practical Exposure: Students gain practical experience by visiting the Assam Legislative Assembly and witnessing the legislative sessions, debates, and bill discussions.
2. Interaction: Students have the opportunity to interact with dignitaries such as the Hon'ble Speaker, Chief Minister, Ministers, MLAs, and senior officials.
3. Understanding of Governance: The scheme helps students understand the functioning of the State Legislative Assembly and the legislative process."
