Scheme Name,Eligibility,URL,Region,Tags
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)","['The applicant should be a resident of Kerala State.', 'The differently abled students with 40% or more disability are eligible to apply under the scheme.', 'Financial assistance will be provided to students falling in Above Poverty Line (APL) as well as Below Poverty Line (BPL) categories.', 'The applicant should be a resident of Kerala State.The differently abled students with 40% or more disability are eligible to apply under the scheme.Financial assistance will be provided to students falling in Above Poverty Line (APL) as well as Below Poverty Line (BPL) categories.']",https://www.myscheme.gov.in/schemes/fadsp1012e,Kerala,"APL, BPL, Disabled, Financial Assistance, PwD, Student"
ICMR- Post Doctoral Fellowship,"['ICMR-PDF is open to Indian nationals only.', 'Fresh PhDs/MD/MS within three years of completing their Ph.D./MD/MS degree (awarded) as on the last date of the application and also those who have received their provisional Ph.D./MD/MS degree can apply.', 'The Post-Doctoral proposed research work should be the continuation of the Ph.D. or MD/MS research work. If not, then the application will not be considered.', 'The maximum age limit is 32 years, relaxable up to 5 years in case of SC/ST/OBC/PH and women candidates, as on the last date of application.', 'For deserving candidates age can be relaxed maximum up to a maximum of 3 years based on earlier work done, publications, awards, etc. along with the request by the sponsoring Director/Director-in-Charge. Director General, ICMR may consider and relax on the recommendation of the screening committee.', 'The PDF Guide should have the minimum designation of Scientist-C grade.', 'Postgraduate medical students are also permitted to carry out ICMR’s PDF in MCI-recognized postgraduate medical colleges wherein a minimum of three batches have obtained their postgraduate degrees.', 'Note 01:Result notification/certificate or Viva-voce/Thesis submitted notification will not be considered.', 'Note 02:It is mandatory to submit the Plagiarism check report along with the declaration to be submitted to ICMR along with the PDF proposal and application.', 'Note 03:A list of ICMR Institutes/Centers and their niche Areas/R&D activities are available on the ICMR website.']",https://www.myscheme.gov.in/schemes/icmr-pdf,Ministry Of Health & Family Welfare,"Fellowship, ICMR, PDF, Post Doctoral, Research"
Tool Kit Grant for Traditional Handicrafts Experts,"['1.\tThe applicant should be a permanent resident of the Kerala State.2.\tThe applicant should belong to the State Backward Communities of Kerala State.3.\tThe applicant should be engaged in traditional craftwork/skilled work.4.\tThe upper age limit of the applicant should be 60 years.5.\tThe annual family income of the applicant should be ₹1,00,000/-.Note 01:Those having more than two girl children shall get preference.Note 02:The differently abled person shall get preference.Note 03:Those having more than 10 years of experience shall get preference.', '1.\tThe applicant should be a permanent resident of the Kerala State.', '2.\tThe applicant should belong to the State Backward Communities of Kerala State.', '3.\tThe applicant should be engaged in traditional craftwork/skilled work.', '4.\tThe upper age limit of the applicant should be 60 years.', '5.\tThe annual family income of the applicant should be ₹1,00,000/-.', 'Note 01:Those having more than two girl children shall get preference.', 'Note 02:The differently abled person shall get preference.', 'Note 03:Those having more than 10 years of experience shall get preference.']",https://www.myscheme.gov.in/schemes/tkgthe,Kerala,"Craftsman, Grant, Handicrafts, OBC, Self-employment, Stipend, Tool Kit, Training"
Snehasanthwanam,"['The applicant should be a resident of Kerala State.', 'The applicant should be an Endosulfan victim.']",https://www.myscheme.gov.in/schemes/skerala,Kerala,"Bedridden, Educational Assistance, Endosulfan, Financial Assistance, Victim"
"Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)","['The scholarship shall be open to students belonging to a non-creamy layer of OBC of the Andaman and Nicobar Islands listed in the Notification issued by the Andaman and Nicobar Administration dated 16th December 2005 and amendments therein.', 'Only those students who belong to OBCs so specified and notified in relation to Andaman and Nicobar Islands and are domicile of Andaman & Nicobar Islands and who have passed Secondary (Class X)/Senior Secondary (Class XII) from a recognized Board of School Education and pursuing higher education in a recognized Institution/University shall be eligible for award of this scholarship.', 'Only two children of the same parent/guardian shall be entitled to receive this scholarship. In case 2nd live birth is more than one child they all shall be eligible for the scholarship.', 'The scholarship shall be awarded for pursuing the below-mentioned higher educational and professional courses on a regular/full-time basis and Post-Secondary/Senior Secondary level (after Class X or XII) courses in any of the Government-recognized institutions, anywhere in the country, such as:', 'It will be renewed on a year-to-year basis provided that within a course, which is continuous for a number of years, the scholar secures promotion to the next higher class.', 'If a scholar is unable to appear in the annual examination owing to illness and /or on account of any other unforeseeable event, the award may be renewed for the next academic year on submission of a medical certificate and /or other required sufficient proof with the recommendation of the Head of the Institution.', 'If according to the Regulations of a University/Institution, a student is promoted to the next level then, he/she will be entitled to a scholarship for the class to which he /she is promoted provided the student is otherwise eligible for scholarship.', 'The scholarship shall be open to students belonging to a non-creamy layer of OBC of the Andaman and Nicobar Islands listed in the Notification issued by the Andaman and Nicobar Administration dated 16th December 2005 and amendments therein.Only those students who belong to OBCs so specified and notified in relation to Andaman and Nicobar Islands and are domicile of Andaman & Nicobar Islands and who have passed Secondary (Class X)/Senior Secondary (Class XII) from a recognized Board of School Education and pursuing higher education in a recognized Institution/University shall be eligible for award of this scholarship.Only two children of the same parent/guardian shall be entitled to receive this scholarship. In case 2nd live birth is more than one child they all shall be eligible for the scholarship.The scholarship shall be awarded for pursuing the below-mentioned higher educational and professional courses on a regular/full-time basis and Post-Secondary/Senior Secondary level (after Class X or XII) courses in any of the Government-recognized institutions, anywhere in the country, such as:All courses leading to a Degree of Graduation and Post-Graduation.M.Phil, Ph.D., and Post-Doctoral Programmes (D.Litt., D.Sc. etc.)Post-Doctoral Research in Medicine (Allopathy, Indian and other recognized systems of medicines), Engineering, Technology, Planning, Architecture, Design, Fashion Design and Technology, Agriculture, Veterinary and allied Sciences, Management, Business Finance/Administration, Computer Science/Applications etc.Post-Graduate Diploma courses in various branches of Management and medicine, Commercial Pilot License (including helicopter pilot and multiengine rating) course, etc.C.A/I.C.W.A./C.S./I.C.F.A./ etc.Graduate/Post-Graduate Courses leading to Degree, Diploma, or Certificate in areas like Pharmacy (B.Pharm), Nursing (B.Nursing), LLB, BFS, other Para-medical branches like Rehabilitation Diagnostics etc., Mass Communication, Hotel Management & Catering, Travel/Tourism/Hospitality Management, Interior Decoration, Nutrition & Dietetics, Commercial Art, Financial Services, etc. (e.g. Banking, Insurance, Taxation, etc.) for which educational qualification is minimum Sr. Secondary (10+2).Post Matriculation level non-degree courses for which educational qualification is Secondary Level (Class-X), for vocational stream, ITI course, 3 years Diploma courses in Polytechnic, etc.Students pursuing Post-graduate courses in Medicine shall be eligible for this scholarship provided they are not allowed to practice during the period of their course.Note 01:The scholarship shall be awarded on a year-to-year basis subject to passing the stage/year/semesters.Note 02:A Student, who fails to complete a particular full course for which he/she had been awarded this scholarship on a year-to-year basis, and joins any other recognized Professional or Technical/Certificate/Diploma/ Degree courses, may be granted the scholarship, but only for the period subsequent to the period to which they have already received the scholarship amount.Note 03:If a student fails in a class for more than one year the scholarship for subsequent years will be stopped.Note 04:If a student is found to have obtained a scholarship by false statement, his/her scholarship shall be cancelled forthwith and the amount of the scholarship paid shall be recovered, at the discretion of the sanctioning authority. The student concerned shall be blacklisted and debarred from applying for a scholarship under any scheme of the Department of Social Welfare, thereafter.Note 05:A scholar is liable to refund the scholarship amount at the direction of the Andaman & Nicobar Administration, if during the course of the year the study for which the scholarship has been awarded, is discontinued by him/her.Renewal of Scholarship:It will be renewed on a year-to-year basis provided that within a course, which is continuous for a number of years, the scholar secures promotion to the next higher class.If a scholar is unable to appear in the annual examination owing to illness and /or on account of any other unforeseeable event, the award may be renewed for the next academic year on submission of a medical certificate and /or other required sufficient proof with the recommendation of the Head of the Institution.If according to the Regulations of a University/Institution, a student is promoted to the next level then, he/she will be entitled to a scholarship for the class to which he /she is promoted provided the student is otherwise eligible for scholarship.', 'Note 01:The scholarship shall be awarded on a year-to-year basis subject to passing the stage/year/semesters.', 'Note 02:A Student, who fails to complete a particular full course for which he/she had been awarded this scholarship on a year-to-year basis, and joins any other recognized Professional or Technical/Certificate/Diploma/ Degree courses, may be granted the scholarship, but only for the period subsequent to the period to which they have already received the scholarship amount.', 'Note 03:If a student fails in a class for more than one year the scholarship for subsequent years will be stopped.', 'Note 04:If a student is found to have obtained a scholarship by false statement, his/her scholarship shall be cancelled forthwith and the amount of the scholarship paid shall be recovered, at the discretion of the sanctioning authority. The student concerned shall be blacklisted and debarred from applying for a scholarship under any scheme of the Department of Social Welfare, thereafter.', 'Note 05:A scholar is liable to refund the scholarship amount at the direction of the Andaman & Nicobar Administration, if during the course of the year the study for which the scholarship has been awarded, is discontinued by him/her.']",https://www.myscheme.gov.in/schemes/sgassobcaniphsaislecxixii,Andaman and Nicobar Islands,"Higher Study, OBC, Scholarship, Student"
National Family Benefit Scheme - Uttar Pradesh,"['To apply for the scheme one must be living under the poverty line.', 'The applicant should not be aged less than 18 years or above 60 years.', 'The family income of the applicant should not be more than Rs. 56, 450/- if the family is from the urban area and Rs. 46, 080/- if the family is from the rural area.', 'Support will be provided to the family after the death of the only earner of the family.', 'Eligibility']",https://www.myscheme.gov.in/schemes/nfbsup,Uttar Pradesh,"Financial Assistance, National Family Benefit, Uttar Pradesh"
Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,"['The scholarships will be open to Indian nationals belonging to the General Category (Other than Schedule Caste, Schedule Tribe and Other Backward Classes).', 'These scholarships will be given for the study of all recognized post-matriculation or post-secondary courses pursued in Government institutions.', 'Students pursuing Post-graduate courses in medicine will be eligible if they are not allowed to practice during the period of their course.', ""Students who after failing or passing the undergraduate/Post-Graduate examinations in Arts/Science/Commerce join any recognized professional or Technical certificate/diploma/degree courses will be awarded scholarships if otherwise eligible. No subsequent failure will be condoned except for courses in Group 'A' and no further change in the course will be allowed."", 'Students who pursue their studies through correspondence courses will be eligible towards reimbursement of a non-refundable fee. The term correspondence includes distant and continuing education. Besides reimbursement of non-refundable fees, such students will also be eligible for an annual allowance of Rs. 900/- for essential/prescribed books, as applicable.', 'Only two boys of the same parents/guardians will be entitled to receive scholarships. This restriction will, however, not apply to girls. Accordingly, scholarships availed by girls of the same parents/guardian will not adversely affect the admissibility of availing scholarships upto two boys of the same parents/guardian.', 'A scholarship holder under this Scheme will not hold any other scholarship/stipend. If awarded any other scholarship/stipend, the student can exercise his/her option for either of the two scholarships/stipends, whichever is more beneficial to him/her and should inform the awarding authority through the Head of the Institution about the option made. No scholarship will be paid to the students under this Scheme from the date he/she accepts any other scholarships/stipend. The student can, however, accept free lodging or a grant or ad-hoc monetary help from the State Government or any other source for the purchase of books, and equipment or for meeting the expenses on board and lodging, in addition to the scholarship amount paid under this Scheme.', 'Scholarship holders who are receiving coaching in any of the pre-examination training centres with financial assistance from the Central Government/State Government will not be eligible for a stipend under the coaching schemes for the duration of the coaching programme.', 'Employed students whose income combined with the income of their parents/guardians does not exceed ₹ 1,00,000 per annum shall be eligible for post-matric scholarships to the extent of reimbursement of all compulsorily payable non-refundable fees.', 'In the case of unemployed students whose parents/guardians income from all sources does not exceed ₹ 1,00,000 per annum will be entitled to the scholarship under the Scheme.', ""The scholarships will be open to Indian nationals belonging to the General Category (Other than Schedule Caste, Schedule Tribe and Other Backward Classes).These scholarships will be given for the study of all recognized post-matriculation or post-secondary courses pursued in Government institutions.Students pursuing Post-graduate courses in medicine will be eligible if they are not allowed to practice during the period of their course.Students who after failing or passing the undergraduate/Post-Graduate examinations in Arts/Science/Commerce join any recognized professional or Technical certificate/diploma/degree courses will be awarded scholarships if otherwise eligible. No subsequent failure will be condoned except for courses in Group 'A' and no further change in the course will be allowed.Students who pursue their studies through correspondence courses will be eligible towards reimbursement of a non-refundable fee. The term correspondence includes distant and continuing education. Besides reimbursement of non-refundable fees, such students will also be eligible for an annual allowance of Rs. 900/- for essential/prescribed books, as applicable.Only two boys of the same parents/guardians will be entitled to receive scholarships. This restriction will, however, not apply to girls. Accordingly, scholarships availed by girls of the same parents/guardian will not adversely affect the admissibility of availing scholarships upto two boys of the same parents/guardian.A scholarship holder under this Scheme will not hold any other scholarship/stipend. If awarded any other scholarship/stipend, the student can exercise his/her option for either of the two scholarships/stipends, whichever is more beneficial to him/her and should inform the awarding authority through the Head of the Institution about the option made. No scholarship will be paid to the students under this Scheme from the date he/she accepts any other scholarships/stipend. The student can, however, accept free lodging or a grant or ad-hoc monetary help from the State Government or any other source for the purchase of books, and equipment or for meeting the expenses on board and lodging, in addition to the scholarship amount paid under this Scheme.Scholarship holders who are receiving coaching in any of the pre-examination training centres with financial assistance from the Central Government/State Government will not be eligible for a stipend under the coaching schemes for the duration of the coaching programme.Employed students whose income combined with the income of their parents/guardians does not exceed ₹ 1,00,000 per annum shall be eligible for post-matric scholarships to the extent of reimbursement of all compulsorily payable non-refundable fees.In the case of unemployed students whose parents/guardians income from all sources does not exceed ₹ 1,00,000 per annum will be entitled to the scholarship under the Scheme.""]",https://www.myscheme.gov.in/schemes/dacsspostmsebcs,Ministry Of Social Justice and Empowerment,"EBC, Economically Backward Class, Post Matric, Scholarship, Student"
Financial Assistance under Odisha Working Journalist Welfare Scheme,"['Journalist should be working in Odisha.', 'The Journalist should be working for a media house registered with the I&PR department, Odisha.', 'The applicant should be a legal heir of the working journalist in case of his/her death or in case of permanent incapacitation.', 'Journalist should be working in Odisha.The Journalist should be working for a media house registered with the I&PR department, Odisha.The applicant should be a legal heir of the working journalist in case of his/her death or in case of permanent incapacitation.Note:""Permanent Incapacitation"" means incapacitation on account of accident, disease, or any other reason which renders the working Journalist wholly unfit for working as such.', 'Note:""Permanent Incapacitation"" means incapacitation on account of accident, disease, or any other reason which renders the working Journalist wholly unfit for working as such.']",https://www.myscheme.gov.in/schemes/owjws,Odisha,"Death, Financial Assistance, Journalist, Permanent Incapacitation"
Savitribai Jyotirao Phule Fellowship For Single Girl Child,"['(i) Any single girl child of her parents pursuing Ph.D. in any stream/subject in recognised Universities/Colleges/ Institutes is eligible to apply under the scheme.', '\ufeff', '(ii) The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program.', '\ufeff', '(iii) Admission to Ph.D. Course in part-time/distance mode is not covered under the scheme. A scholar is not eligible for fellowship if the research is intended/pursued through open/ part-time distance education mode or part-time mode.', '\ufeff', '(iv) Girl students up to the age of 40 years for general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible.', '\ufeff', '(v) Both the scholar receiving the fellowship and the institution concerned, where the scholar is pursuing her Ph.D are responsible to ensure that the terms and conditions of these schemes are followed properly and only the eligible candidates get the fellowship.']",https://www.myscheme.gov.in/schemes/sjpfsgc,Ministry of Education,"Fellowship, Girl Child, Ph.D."
Exposure Visits To The Assam Legislative Assembly,"['1.\tEducational Institutions: High/Higher Secondary Schools and colleges within Assam are considered for participation.', '2.\tSubjects/Streams: Students from related subjects such as Political Science, Economics, etc., within the Arts/Humanities streams in colleges/higher secondary schools, and social sciences in secondary schools are preferred.', '3.\tSelection: Students showing good academic performance and enthusiastic participation in extracurricular activities like debating competitions, student activities, mock parliament, etc., may be selected.', '4.\tBatch Size: The total number of students in one batch should not exceed 50.', '5.\tVoluntary Participation: Student participation in the visit is voluntary, and only willing students should be selected.', '\ufeff']",https://www.myscheme.gov.in/schemes/evtala,Assam,"10th, 12th, Assam Legislative Assembly, Learning, Student Visits"
