Scheme Name,URL,Region,Tags
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)",https://www.myscheme.gov.in/schemes/fadsp1012e,Kerala,"APL, BPL, Disabled, Financial Assistance, PwD, Student, APL, BPL, Disabled, Financial Assistance, PwD, Student"
ICMR- Post Doctoral Fellowship,https://www.myscheme.gov.in/schemes/icmr-pdf,Ministry Of Health & Family Welfare,"Fellowship, ICMR, PDF, Post Doctoral, Research, Fellowship, ICMR, PDF, Post Doctoral, Research"
Tool Kit Grant for Traditional Handicrafts Experts,https://www.myscheme.gov.in/schemes/tkgthe,Kerala,"Craftsman, Grant, Handicrafts, OBC, Self-employment, Stipend, Tool Kit, Training, Craftsman, Grant, Handicrafts, OBC, Self-employment, Stipend, Tool Kit, Training"
Snehasanthwanam,https://www.myscheme.gov.in/schemes/skerala,Kerala,"Bedridden, Educational Assistance, Endosulfan, Financial Assistance, Victim, Bedridden, Educational Assistance, Endosulfan, Financial Assistance, Victim"
"Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)",https://www.myscheme.gov.in/schemes/sgassobcaniphsaislecxixii,Andaman and Nicobar Islands,"Higher Study, OBC, Scholarship, Student, Higher Study, OBC, Scholarship, Student"
National Family Benefit Scheme - Uttar Pradesh,https://www.myscheme.gov.in/schemes/nfbsup,Uttar Pradesh,"Financial Assistance, National Family Benefit, Uttar Pradesh, Financial Assistance, National Family Benefit, Uttar Pradesh"
Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,https://www.myscheme.gov.in/schemes/dacsspostmsebcs,Ministry Of Social Justice and Empowerment,"EBC, Economically Backward Class, Post Matric, Scholarship, Student, EBC, Economically Backward Class, Post Matric, Scholarship, Student"
Financial Assistance under Odisha Working Journalist Welfare Scheme,https://www.myscheme.gov.in/schemes/owjws,Odisha,"Death, Financial Assistance, Journalist, Permanent Incapacitation, Death, Financial Assistance, Journalist, Permanent Incapacitation"
Savitribai Jyotirao Phule Fellowship For Single Girl Child,https://www.myscheme.gov.in/schemes/sjpfsgc,Ministry of Education,"Fellowship, Girl Child, Ph.D., Fellowship, Girl Child, Ph.D."
Exposure Visits To The Assam Legislative Assembly,https://www.myscheme.gov.in/schemes/evtala,Assam,"10th, 12th, Assam Legislative Assembly, Learning, Student Visits, 10th, 12th, Assam Legislative Assembly, Learning, Student Visits"
Scheme of Assistance for the Prevention of Alcoholism & Substance (Drugs) Abuse and for Social Defence Services: General Grant-in-Aid Programme for Financial Assistance in the Field of Social Defence,https://www.myscheme.gov.in/schemes/sapaandsdasdsggiapfafsd,Ministry Of Social Justice and Empowerment,"Financial Assistance, Grant, Rehabilitation, Social Defence, Financial Assistance, Grant, Rehabilitation, Social Defence"
Jeevanam Self-Employment Scheme To Dependents Of Crime Victims,https://www.myscheme.gov.in/schemes/js-esdcv,Kerala,"Breadwinner, Dependent, Financial Assistance, Self-Employment, Victim, Breadwinner, Dependent, Financial Assistance, Self-Employment, Victim"
Nari Niketans,https://www.myscheme.gov.in/schemes/nn,Jammu and Kashmir,"Destitute, Rehabilitation, Shelter, Social Welfare, Widow, Destitute, Rehabilitation, Shelter, Social Welfare, Widow"
Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,https://www.myscheme.gov.in/schemes/akgbcsy,Chhattisgarh,"Financial Assistance, Medical Treatment, Serious Illness, Financial Assistance, Medical Treatment, Serious Illness"
Airavata Scheme,https://www.myscheme.gov.in/schemes/airavata,Karnataka,
Reimbursement of Stamp Duty and Registration Charges,https://www.myscheme.gov.in/schemes/rsdarc,Tamil Nadu,"Business, Enterprise, MSME, Reimbursement, Business, Enterprise, MSME, Reimbursement"
Support for Value Addition - Support to R&G units,https://www.myscheme.gov.in/schemes/icdpsva-srgu,Ministry Of Commerce And Industry,"Agriculture, Direct Benefit Transfer, Farmer, Financial Assistance, Subsidy, Agriculture, Direct Benefit Transfer, Farmer, Financial Assistance, Subsidy"
MANAGE Internship Programme,https://www.myscheme.gov.in/schemes/mip,Ministry Of Agriculture and Farmers Welfare,"Agriculture, Environment, Internship, Management, Student, Agriculture, Environment, Internship, Management, Student"
Laadli Laxmi Scheme,https://www.myscheme.gov.in/schemes/lls-g,Goa,"Financial Assistance, Girl, Marriage, Social Welfare, Financial Assistance, Girl, Marriage, Social Welfare"
Distress Relief Fund For The Differently Abled (Medical Treatment),https://www.myscheme.gov.in/schemes/drfdamt,Kerala,"BPL, Differently Abled, Distress, Financial Assistance, Handicap, Medical Treatment, PwD, BPL, Differently Abled, Distress, Financial Assistance, Handicap, Medical Treatment, PwD"
Atma Nirbhar Bagwani Yojana,https://www.myscheme.gov.in/schemes/anby,Arunachal Pradesh,"Farmers, Subsidy, Umbrella Scheme, Farmers, Subsidy, Umbrella Scheme"
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,https://www.myscheme.gov.in/schemes/mnssby,Bihar,"Financial Assistance, Skilled Youth Program, Social Welfare, Unemployment, Financial Assistance, Skilled Youth Program, Social Welfare, Unemployment"
AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma),https://www.myscheme.gov.in/schemes/sak-dip,Ministry of Education,"PwD, Scholarship, PwD, Scholarship"
Junior Research Fellowship (JRF) And Research Associateship (RA) For Foreign Nationals,https://www.myscheme.gov.in/schemes/jrfrafn,Ministry of Education,"Fellowship, Foreign, Research, Fellowship, Foreign, Research"
Industry Linked Biotechnology Research Scheme,https://www.myscheme.gov.in/schemes/ibrs,Kerala,"Biotechnology, Grant, Industry, Research, Scientist, Technologist, Biotechnology, Grant, Industry, Research, Scientist, Technologist"
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,https://www.myscheme.gov.in/schemes/cdpnerqucsecoc,Ministry Of Commerce And Industry,"Agriculture, DBT, Farmer, Subsidy, Agriculture, DBT, Farmer, Subsidy"
NSAP - Indira Gandhi National Old Age Pension Scheme,https://www.myscheme.gov.in/schemes/nsap-ignoaps,Ministry Of Rural Development,"BPL, Pension, Senior Citizen, Social Welfare, BPL, Pension, Senior Citizen, Social Welfare"
Shram Kalyan Shaikshanik Chatravriti Yojana,https://www.myscheme.gov.in/schemes/skscy,Madhya Pradesh,"Financial Assistance, Higher Education, Student Finance, Financial Assistance, Higher Education, Student Finance"
Jai Johar (Old Age Pension) Scheme,https://www.myscheme.gov.in/schemes/jjoaps,West Bengal,"Financial Assistance, Pension, Scheduled Tribe, Senior Citizen, Social Welfare, Financial Assistance, Pension, Scheduled Tribe, Senior Citizen, Social Welfare"
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,https://www.myscheme.gov.in/schemes/admptpfdap,Tamil Nadu,"Delivery, Differently Abled Person, Female, Miscarriage, Pregnancy, Delivery, Differently Abled Person, Female, Miscarriage, Pregnancy"
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Faculty Fellowship,https://www.myscheme.gov.in/schemes/inspire-ff,Ministry Of Science And Technology,"Faculty, Fellowship, PhD, Research, Science, Faculty, Fellowship, PhD, Research, Science"
Goa Village & Municipal Child Committee Grants And Awards Scheme,https://www.myscheme.gov.in/schemes/gvmccgs,Goa,"Award, Child Rights, Municipal, Panchayat, Village, Award, Child Rights, Municipal, Panchayat, Village"
Scholarship For Transgender Students,https://www.myscheme.gov.in/schemes/sts,Kerala,"Scholarship, Student, Transgender, Scholarship, Student, Transgender"
Junior Research Fellowship,https://www.myscheme.gov.in/schemes/jrfbio,Ministry Of Science And Technology,"Financial Assistance, Lecturer, Professor, Research Scientist, Financial Assistance, Lecturer, Professor, Research Scientist"
Indira Gandhi National Old Age Pension Scheme - Sikkim,https://www.myscheme.gov.in/schemes/ignoaps-sikkim,Sikkim,"Below Poverty Line, Direct Benefit Transfer, Old Age, Pension, Below Poverty Line, Direct Benefit Transfer, Old Age, Pension"
Mukhyamantri Mahila Utkarsh Yojana,https://www.myscheme.gov.in/schemes/mmuy,Gujarat,"Mahila, Mukhyamantri, Utkarsh Yojana, Mahila, Mukhyamantri, Utkarsh Yojana"
ASEAN-India Research Training Fellowship,https://www.myscheme.gov.in/schemes/ai-rtf,Ministry Of Science And Technology,"ASEAN, Fellowship, FICCI, Innovation, Research, Science, Technology, ASEAN, Fellowship, FICCI, Innovation, Research, Science, Technology"
Promotion of Energy Audit and Conservation of Energy (PEACE): Incentive for Implementing Energy Audit Recommendations,https://www.myscheme.gov.in/schemes/peaceifiear,Tamil Nadu,"Audit, Business, Energy, Enterprise, MSME, Audit, Business, Energy, Enterprise, MSME"
Scholarships to Students with Disabilities Scheme,https://www.myscheme.gov.in/schemes/ssds-punjab,Punjab,"Disability, PwD, Scholarship, Student, Disability, PwD, Scholarship, Student"
Stipend to Scheduled Caste Trainees in Technical Training Institutions,https://www.myscheme.gov.in/schemes/sscttti,Puducherry,"ITI, Scheduled Caste, Stipend, Trainee, ITI, Scheduled Caste, Stipend, Trainee"
Post Graduate Indira Gandhi Scholarship For Single Girl Child,https://www.myscheme.gov.in/schemes/pg-igssgc,Ministry of Education,"Girl Child, Scholarship, Girl Child, Scholarship"
Production Linked Incentive Scheme For Automobile And Auto Component Industry,https://www.myscheme.gov.in/schemes/plisaaci,Ministry of Heavy Industries,"Auto Component, Automobile, Automotive, Incentive, Industry, Auto Component, Automobile, Automotive, Incentive, Industry"
Asangathit Karmakaar Silai Machine Sahayata Yojana,https://www.myscheme.gov.in/schemes/aksmsy,Chhattisgarh,"Business, Empowerment, Sewing Machine, Business, Empowerment, Sewing Machine"
Award of Opportunity Cost to Parents of Scheduled Caste Girl Students,https://www.myscheme.gov.in/schemes/aocpscgs,Puducherry,"Girl, Opportunity Cost, Parents, Scheduled Cast, Student, Girl, Opportunity Cost, Parents, Scheduled Cast, Student"
Indira Gandhi National Widow Pension Scheme,https://www.myscheme.gov.in/schemes/ignwps,Ministry Of Rural Development,"Below Poverty Line - BPL, Pension, Widow, Below Poverty Line - BPL, Pension, Widow"
Stipend Scheme For Poultry Farming Training For Weaker Section,https://www.myscheme.gov.in/schemes/sspftws,Gujarat,"Cash Assistance, Poultry Farming, Stipend, Training, Weaker Section, Cash Assistance, Poultry Farming, Stipend, Training, Weaker Section"
Merit Based Award and Recognition Of High Performance In The Board Exams Of SSC And HSSC In The State Of Goa,https://www.myscheme.gov.in/schemes/mbarhpbe,Goa,"Education, Merit, Scheduled Tribe, School, Student, Education, Merit, Scheduled Tribe, School, Student"
Fee Waiver Scheme For SC/ST Students Pursuing Higher Education,https://www.myscheme.gov.in/schemes/fwsscstsphe,Goa,"Education, Scheduled Caste, Scheduled Tribe, Scholarship, Student, Education, Scheduled Caste, Scheduled Tribe, Scholarship, Student"
Advocate Grant,https://www.myscheme.gov.in/schemes/ag,Kerala,"Advocate, Grant, Law Graduate, OBC, Advocate, Grant, Law Graduate, OBC"
Biotechnology Ignition Grant Scheme,https://www.myscheme.gov.in/schemes/big,Ministry Of Science And Technology,"BIG, Biotechnology, BIRAC, Entrepreneur, Ignition Grant, Start-up, BIG, Biotechnology, BIRAC, Entrepreneur, Ignition Grant, Start-up"
Asangathit Karmakar Samachar-Patr Hawker Cycle Sahayata Yojana,https://www.myscheme.gov.in/schemes/aksphssy,Chhattisgarh,"Empowerment, Free Cycle, Vehicle, Empowerment, Free Cycle, Vehicle"
Aamar Dukan On Wheels,https://www.myscheme.gov.in/schemes/adow,Assam,"Aamar Dukan, Business, Startup, Wheels, Aamar Dukan, Business, Startup, Wheels"
Safai Karmakar Hetu Aavashyak Upakaran Sahayata Yojana ​,https://www.myscheme.gov.in/schemes/skhausy,Chhattisgarh,"Financial Assistance, Sanity Equipment, Financial Assistance, Sanity Equipment"
Atal Mission For Rejuvenation And Urban Transformation,https://www.myscheme.gov.in/schemes/amrut,Ministry Of Housing & Urban Affairs,"Basic Services, Drainage, Green Space, Non-Motorized, Parks, Septage Management, Sewerage, Storm Water, Urban Transport, Basic Services, Drainage, Green Space, Non-Motorized, Parks, Septage Management, Sewerage, Storm Water, Urban Transport"
Pradhan Mantri Jeevan Jyoti Bima Yojana,https://www.myscheme.gov.in/schemes/pmjjby,Ministry Of Finance,"Claim Form, Consent, Jansuraksha, LIC, Claim Form, Consent, Jansuraksha, LIC"
Chief Minister's Micro Finance Initiative,https://www.myscheme.gov.in/schemes/cmmfi,Nagaland,"Banking And Money, Business, Financial Assistance, Micro Finance, Banking And Money, Business, Financial Assistance, Micro Finance"
Media Person Pension Scheme,https://www.myscheme.gov.in/schemes/mpps,Haryana,"Honorarium, Journalism, Media Persons, Pension, Honorarium, Journalism, Media Persons, Pension"
Development Support for Coffee in Traditional Areas: Eco-certification of Coffee,https://www.myscheme.gov.in/schemes/dsctaecc,Ministry Of Commerce And Industry,"Agriculture, Coffee, DBT, Farmer, Subsidy, Agriculture, Coffee, DBT, Farmer, Subsidy"
DEVELOPMENT OF HANDICRAFTS,https://www.myscheme.gov.in/schemes/doh,Puducherry,"Handicraft, Puducherry, Skills, Trades, Training, Handicraft, Puducherry, Skills, Trades, Training"
Mukhyamantri Nirmaan Shramik Pension Sahayata,https://www.myscheme.gov.in/schemes/mnsps,Chhattisgarh,"Financial Assistance, Social Welfare, Financial Assistance, Social Welfare"
Jagananna Chedodu,https://www.myscheme.gov.in/schemes/jc,Andhra Pradesh,"Barber, Financial Assistance, Social Welfare, Tailor, Washermen, Barber, Financial Assistance, Social Welfare, Tailor, Washermen"
Assistance Scheme for Handicraft Artisans,https://www.myscheme.gov.in/schemes/asha,Kerala,"Artisan, ASHA, Enterprise, Entrepreneur, Financial Assistance, Handicraft, Artisan, ASHA, Enterprise, Entrepreneur, Financial Assistance, Handicraft"
Assam Arogya Nidhi Scheme,https://www.myscheme.gov.in/schemes/aan,Assam,"Accidental Case, Diseases, Financial Assistance, Hospital, Treatment, Accidental Case, Diseases, Financial Assistance, Hospital, Treatment"
Atal Beemit Vyakti Kalyan Yojana,https://www.myscheme.gov.in/schemes/abvky,Ministry Of Labour and Employment,"Atal, Employee, Insurance, Insured Person, Unemployment, Atal, Employee, Insurance, Insured Person, Unemployment"
ICAR - Post Matric Scholarship For Scheduled Caste / Scheduled Tribes Candidates,https://www.myscheme.gov.in/schemes/icar-pms-scstc,Ministry Of Agriculture and Farmers Welfare,"Agriculture, Post Matric, Scheduled Caste, Scheduled Tribe, Scholarship, Agriculture, Post Matric, Scheduled Caste, Scheduled Tribe, Scholarship"
Pradhan Mantri Ujjwala Yojana,https://www.myscheme.gov.in/schemes/pmuy,Ministry Of Petroleum and Natural Gas,"BPL, Gas Cylinder, LPG Cylinder, Ujjwala, Women, BPL, Gas Cylinder, LPG Cylinder, Ujjwala, Women"
Usha Kiran Yojana,https://www.myscheme.gov.in/schemes/uky,Madhya Pradesh,"Deprivation Of Liberty, Domestic Violence, Mental Abuse, Physical Abuse, Sexual Abuse, Deprivation Of Liberty, Domestic Violence, Mental Abuse, Physical Abuse, Sexual Abuse"
Swachh Bharat Mission – Urban 2.0,https://www.myscheme.gov.in/schemes/sbm-u,Ministry Of Housing & Urban Affairs,"Sanitation, Toilet, Sanitation, Toilet"
Financial Assistance To Pre-primary School In Remote Areas,https://www.myscheme.gov.in/schemes/fappsra,Goa,"Refreshment, Remuneration, School, Training, Tribal, Refreshment, Remuneration, School, Training, Tribal"
Visiting Advanced Joint Research Faculty Scheme,https://www.myscheme.gov.in/schemes/vajra,Ministry Of Science And Technology,"Faculty, Joint Research, NRI, OCI, Overseas, SERB, VAJRA, Visiting, Faculty, Joint Research, NRI, OCI, Overseas, SERB, VAJRA, Visiting"
Scheme For Award Of Financial Assistance For Education To The Wards Of Beedi/Cine/IOMC/LSDM Workers – Pre & Post-Matric,https://www.myscheme.gov.in/schemes/safaew-bcew,Ministry Of Labour and Employment,"Financial Assistance, Scholarship, Student, Financial Assistance, Scholarship, Student"
Pradhan Mantri Kaushal Vikas Yojana - Short Term Training,https://www.myscheme.gov.in/schemes/pmkvy-stt,Ministry Of Skill Development And Entrepreneurship,"Counselling, Dropout, Kaushal, Placement, Skill, Training, Unemployed, Vikas, Counselling, Dropout, Kaushal, Placement, Skill, Training, Unemployed, Vikas"
Mahatma Gandhi National Rural Employment Guarantee Act,https://www.myscheme.gov.in/schemes/mgnrega,Ministry Of Rural Development,"Employment, Job, Labour, Panchayat, Unskilled, Employment, Job, Labour, Panchayat, Unskilled"
Pradhan Mantri Kaushal Vikas Yojana - Recognition Of Prior Learning,https://www.myscheme.gov.in/schemes/pmkvy-rpl,Ministry Of Skill Development And Entrepreneurship,"Industry Training, Kaushal, Skill, Vikas, Industry Training, Kaushal, Skill, Vikas"
Modernisation And Removal Of Obsolescence,https://www.myscheme.gov.in/schemes/modrob,Ministry of Education,"Grant, Institution, Grant, Institution"
National Talent Scholarship Undergraduate,https://www.myscheme.gov.in/schemes/nts-ug,Ministry Of Agriculture and Farmers Welfare,"Agriculture, Education, Scholarship, Student, Agriculture, Education, Scholarship, Student"
Post Matric Scholarship For Scheduled Caste,https://www.myscheme.gov.in/schemes/pmssc,Punjab,"Post Matric, Punjab, Scheduled Cast, Scholarship, Post Matric, Punjab, Scheduled Cast, Scholarship"
