Scheme Name,URL
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,https://www.myscheme.gov.in/schemes/csmsu
Natural Calamity Relief to Fishermen of State,https://www.myscheme.gov.in/schemes/ncrfs
Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,https://www.myscheme.gov.in/schemes/fapllf
"""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/spfrpcvwnmpcn-faascdmf
Grant of Financial Assistance for Performance of Marriage of Poor Brides Living Below Poverty Line,https://www.myscheme.gov.in/schemes/gfampmblpl
Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa,https://www.myscheme.gov.in/schemes/fapcnfclt26ffiw
KULAVILAKKU,https://www.myscheme.gov.in/schemes/k-pudu
Financial Assistance to Mussel Culture and Oyster Farming in Goa,https://www.myscheme.gov.in/schemes/famcofg
Atma Nirbhar Krishi Yojana,https://www.myscheme.gov.in/schemes/anky
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Supply of Baby Pulpers,https://www.myscheme.gov.in/schemes/cdpnerqucsbp
Dr. B.R. Ambedkar Memorial Award to Scheduled Caste Students,https://www.myscheme.gov.in/schemes/dbramascs
Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women,https://www.myscheme.gov.in/schemes/gfapscplw
Distribution of Free House Sites to Scheduled Caste/Other Economically Backward Classes,https://www.myscheme.gov.in/schemes/dfhsscoebc
Grant of Mahatma Gandhi Memorial Award for Clean Houses,https://www.myscheme.gov.in/schemes/gmgmach
Financial Assistance for Marriage of Poor Scheduled Caste Brides,https://www.myscheme.gov.in/schemes/fampscb
Chief Minister Floriculture Mission,https://www.myscheme.gov.in/schemes/cmfm
Dr. Ambedkar Medhavi Chattar Sansodhit Yojna,https://www.myscheme.gov.in/schemes/amcsy
Incubation Scheme,https://www.myscheme.gov.in/schemes/is
ARAVANAIPPU,https://www.myscheme.gov.in/schemes/a-pudu
Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe,https://www.myscheme.gov.in/schemes/fatpomo2t5ffttfc
Promotion of Energy Audit and Conservation of Energy (PEACE): Training Programme,https://www.myscheme.gov.in/schemes/peacetp
"AICTE-IDEA (Idea Development, Evaluation & Application) LAB SCHEME",https://www.myscheme.gov.in/schemes/aiideals
Balika Samrithi Yojana,https://www.myscheme.gov.in/schemes/bsy-pudu
Free Distribution of Blankets and Chappals to Senior Citizen,https://www.myscheme.gov.in/schemes/fdbcsc
State Award for the Welfare of the Handicapped,https://www.myscheme.gov.in/schemes/sawh
Supply of Sarees and Dhoties to Differently Abled Persons,https://www.myscheme.gov.in/schemes/ssddap-pudu
Group Insurance for Differently Abled Person Government Employees,https://www.myscheme.gov.in/schemes/gidapge
Supply of Prosthetic Appliances to Differently Abled Persons,https://www.myscheme.gov.in/schemes/spadap
Scheme for Reimbursement of Educational Expenses to Hearing Impaired Students Pursuing Special Higher Education Courses Inside or Outside the Union Territory of Puducherry,https://www.myscheme.gov.in/schemes/sreehispshecioutp
Cash Award to the Meritorious Visually Impaired Students Obtaining First Three Ranks at the State Level in the SSLC and HSC Examination,https://www.myscheme.gov.in/schemes/camvisoftrslshe
"""Monthly Grant To Old Crafts Persons (Pension)"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/mgtocpp
"“Training in Coir” Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/ticcotdocs
"""Entrepreneurship Development Programme"" Component of the ""Development of Coir"" Scheme",https://www.myscheme.gov.in/schemes/edp-dc
"""Grant to Silk Societies/Agency"" Component of the ""Development of Silk"" Scheme",https://www.myscheme.gov.in/schemes/gssa-ds
Sales Rebate under 'Marketing And Publicity',https://www.myscheme.gov.in/schemes/srmp
Chief Minister’s Girl Child Protection Scheme-I,https://www.myscheme.gov.in/schemes/cmgcpsi
Petrol Subsidy To Persons With Disability,https://www.myscheme.gov.in/schemes/petro-subsidy-for-disabled
"""Employment Incentive"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",https://www.myscheme.gov.in/schemes/ei-mesifai
"""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",https://www.myscheme.gov.in/schemes/gefm-mesifai-sa-msme
One Time Cash Incentive towards Learning Driving (Sainik Welfare),https://www.myscheme.gov.in/schemes/otcild-sw
Thatched House Repair Grant for Re-thatching & Repairs (Sainik Welfare),https://www.myscheme.gov.in/schemes/thrgrr-sw
